expId,transform,binWidth,historyBins,nPC,meanRMSE,stdRMSE
23,sqrt,20,15,300,18.647359283026,0.546016010769782
39,anscombe,20,15,300,18.7651754138635,0.509169640174108
7,none,20,15,300,19.4422891869857,0.461785999266084
22,sqrt,20,12,300,20.1961941826993,0.277983006720301
38,anscombe,20,12,300,20.3155696604086,0.325093253766703
6,none,20,12,300,21.0732289367575,0.253138491613302
21,sqrt,20,8,300,22.8961294755048,0.322883007802354
37,anscombe,20,8,300,23.0588407049157,0.382557400840531
5,none,20,8,300,23.7182869869329,0.447208045717134
8,none,20,20,300,25.4930058093824,1.04506533990979
24,sqrt,20,20,300,25.8286627221025,0.678236637504099
40,anscombe,20,20,300,26.2740116503947,2.00009210062498
25,sqrt,25,8,300,27.040848544049,1.55331925833768
41,anscombe,25,8,300,27.1544125266201,1.39849997577847
9,none,25,8,300,27.5838182224336,1.24743619294425
26,sqrt,25,12,300,27.6115109548367,2.18423330315332
42,anscombe,25,12,300,27.7301042985544,2.01901843774041
10,none,25,12,300,28.1886982063132,1.97292288110566
20,sqrt,10,20,300,44.6737699223801,0.889276782471023
36,anscombe,10,20,300,44.7914752151259,0.821589790475145
4,none,10,20,300,45.1529452721656,0.749198385017663
19,sqrt,10,15,300,46.6993300137527,0.705280957091788
35,anscombe,10,15,300,46.787485364307,0.658477749731808
30,sqrt,40,12,300,47.1032375048909,1.29986081372706
3,none,10,15,300,47.1402683989647,0.600763090811567
14,none,40,12,300,47.2191663794467,0.771184976217885
11,none,25,15,300,48.1752999152914,2.69441233992527
18,sqrt,10,12,300,48.5798100471324,0.592561463688235
34,anscombe,10,12,300,48.6355242179325,0.57985216522797
2,none,10,12,300,48.9356582883428,0.557127203351317
46,anscombe,40,12,300,49.0243142048713,1.56877990815496
27,sqrt,25,15,300,51.3853376317602,2.66447263517051
33,anscombe,10,8,300,52.0246793490428,0.471400830943646
17,sqrt,10,8,300,52.0271248421817,0.4641757486664
1,none,10,8,300,52.2205377423549,0.480258662023193
43,anscombe,25,15,300,53.2516721263129,2.89191632961101
12,none,25,20,300,66.3798358237226,0.348933059164181
28,sqrt,25,20,300,66.5042357076127,0.433004581281513
44,anscombe,25,20,300,66.7450317930445,0.455213267882704
13,none,40,8,300,90.9529413420881,3.1344406775902
45,anscombe,40,8,300,92.5546937540863,3.21649872850882
29,sqrt,40,8,300,92.8051032019895,4.05349835385047
15,none,40,15,300,NaN,NaN
16,none,40,20,300,NaN,NaN
31,sqrt,40,15,300,NaN,NaN
32,sqrt,40,20,300,NaN,NaN
47,anscombe,40,15,300,NaN,NaN
48,anscombe,40,20,300,NaN,NaN
